corpus	level	tfidf_cluster	semantic_cluster	overlap_papers	tfidf_size	semantic_size	jaccard	overlap_work_ids
included	macro	M01	M03	17	18	19	0.85	w_7642d8c74152ab9f,w_47f0ccb3e2ec3eac,w_a6027fec6ac3ab9a,w_8af770f5f86d5ac0,w_848983c423304f71,w_7209270e01aef2a8,w_8d71fca6fabfe6c0,w_83ff2605b95d13cd,w_988674ea0e8c1cb7,w_6d9aedbcf0365751,w_0308d55890a5b9c6,w_85b812c5c78e647c,w_e0964d9cc077c1f7,w_4ae2e575bb61224a,w_97808c92883566a2,w_7afa59979906b85f,w_b1b2841abfaf8ef2
included	macro	M03	M05	14	23	17	0.5384615384615384	w_63db75cd5e03c2b8,w_584c8d983c92b47f,w_055282d4fa8fa8da,w_c0722915b2be1f88,w_86f10686a7226020,w_9f65ba32c1a08d74,w_25ba5099b834e43a,w_b19041cd869bacfa,w_f3172e652cebe4b6,w_a124ea491b1e38a3,w_4ec0813caf380920,w_f05eeedb3d84fbb7,w_5fc248e95ef96553,w_f5f5600670f31041
included	macro	M04	M04	6	12	7	0.46153846153846156	w_f94f564014be4c25,w_2b77293cdef4c93f,w_e93a08062ac7d030,w_3addefc2ae588ee1,w_c053dda032e0c8cc,w_29ea95f17f21c7ac
included	macro	M05	M01	11	23	18	0.36666666666666664	w_3f7299052e18118d,w_0ff86e6a31e1d145,w_ab07437d78318352,w_f6a044308e277e6f,w_63d2efb7962dd788,w_0daa43451a63b0d5,w_27f0a0911b68ee3a,w_5cfae990f2e4ea0e,w_34505df745b929e9,w_71088ab66e735f6d,w_5c54f66764cf4f97
included	macro	M02	M06	8	10	20	0.36363636363636365	w_07d5eb02f4e65497,w_811a8cd021958e82,w_1414f43f732405e6,w_c31a237682405c3b,w_dff3d1da5e63f8e0,w_e290bc51cfc6cc89,w_b1a722c7add3a18c,w_8c5442dfb760aae0
included	macro	M05	M02	9	23	11	0.36	w_ee7cdd8c7d281656,w_3144bdd83cd17ac0,w_87462cebc24e3c1e,w_cbbadc97bc1c553c,w_cf357442f5aa7893,w_e1dd76d318faa330,w_de78b34865a33cc1,w_38e23f5995c71d9b,w_5362be8fefcfa6c2
included	macro	M06	M01	6	6	18	0.3333333333333333	w_3d415e237f7c4f65,w_679c49d202c94f8e,w_3a9d20d4ea381a66,w_d18730b289f06c03,w_6fc4c4ab9c9916f7,w_6ffbda57ab6a27ae
included	macro	M03	M06	9	23	20	0.2647058823529412	w_c05624cc0be4c2cb,w_aaa017a83700f80c,w_4ea8cb6a3b5fed46,w_cddfb17d263e3744,w_45a112f0ccfe5c13,w_35bf58ca4093d76e,w_8a9381903c1dcd61,w_67833e8bc8bb92f5,w_9f42a69c53e47f06
included	macro	M04	M02	2	12	11	0.09523809523809523	w_d27b97e00fa37f8b,w_0c85822618800428
included	macro	M02	M05	2	10	17	0.08	w_9db7d6568bb89686,w_01e15d37549ba1fc
included	macro	M04	M03	2	12	19	0.06896551724137931	w_cb00fb1bab7f3b7f,w_7478c4587d99ea18
included	macro	M05	M06	2	23	20	0.04878048780487805	w_a6ec62ef7863cd72,w_248da8719a3b92f1
included	macro	M01	M04	1	18	7	0.041666666666666664	w_33b529766cc60dd2
included	macro	M04	M01	1	12	18	0.034482758620689655	w_e219fcd05aa4ac72
included	macro	M04	M06	1	12	20	0.03225806451612903	w_a68de8b27948098c
included	macro	M05	M05	1	23	17	0.02564102564102564	w_92e78fbf258ed40a
included	subcluster	S14	S01	4	4	5	0.8	w_3d415e237f7c4f65,w_679c49d202c94f8e,w_6fc4c4ab9c9916f7,w_6ffbda57ab6a27ae
included	subcluster	S02	S06	8	8	11	0.7272727272727273	w_7642d8c74152ab9f,w_7209270e01aef2a8,w_8d71fca6fabfe6c0,w_83ff2605b95d13cd,w_988674ea0e8c1cb7,w_6d9aedbcf0365751,w_e0964d9cc077c1f7,w_97808c92883566a2
included	subcluster	S04	S14	5	6	6	0.7142857142857143	w_811a8cd021958e82,w_1414f43f732405e6,w_c31a237682405c3b,w_e290bc51cfc6cc89,w_8c5442dfb760aae0
included	subcluster	S12	S04	8	12	8	0.6666666666666666	w_ee7cdd8c7d281656,w_87462cebc24e3c1e,w_cbbadc97bc1c553c,w_cf357442f5aa7893,w_e1dd76d318faa330,w_de78b34865a33cc1,w_38e23f5995c71d9b,w_5362be8fefcfa6c2
included	subcluster	S01	S07	6	10	6	0.6	w_47f0ccb3e2ec3eac,w_a6027fec6ac3ab9a,w_8af770f5f86d5ac0,w_0308d55890a5b9c6,w_4ae2e575bb61224a,w_7afa59979906b85f
included	subcluster	S03	S12	3	4	4	0.6	w_07d5eb02f4e65497,w_dff3d1da5e63f8e0,w_b1a722c7add3a18c
included	subcluster	S07	S10	7	9	11	0.5384615384615384	w_63db75cd5e03c2b8,w_055282d4fa8fa8da,w_c0722915b2be1f88,w_86f10686a7226020,w_9f65ba32c1a08d74,w_a124ea491b1e38a3,w_4ec0813caf380920
included	subcluster	S05	S13	4	5	7	0.5	w_aaa017a83700f80c,w_4ea8cb6a3b5fed46,w_cddfb17d263e3744,w_9f42a69c53e47f06
included	subcluster	S10	S09	3	3	7	0.42857142857142855	w_2b77293cdef4c93f,w_e93a08062ac7d030,w_3addefc2ae588ee1
included	subcluster	S11	S05	2	4	3	0.4	w_d27b97e00fa37f8b,w_0c85822618800428
included	subcluster	S13	S02	5	11	7	0.38461538461538464	w_3f7299052e18118d,w_f6a044308e277e6f,w_27f0a0911b68ee3a,w_5cfae990f2e4ea0e,w_34505df745b929e9
included	subcluster	S06	S11	3	7	6	0.3	w_25ba5099b834e43a,w_f3172e652cebe4b6,w_5fc248e95ef96553
included	subcluster	S15	S02	2	2	7	0.2857142857142857	w_3a9d20d4ea381a66,w_d18730b289f06c03
included	subcluster	S11	S09	2	4	7	0.2222222222222222	w_f94f564014be4c25,w_29ea95f17f21c7ac
included	subcluster	S12	S03	3	12	6	0.2	w_0ff86e6a31e1d145,w_ab07437d78318352,w_63d2efb7962dd788
included	subcluster	S01	S08	2	10	2	0.2	w_848983c423304f71,w_b1b2841abfaf8ef2
included	subcluster	S08	S10	2	2	11	0.18181818181818182	w_f05eeedb3d84fbb7,w_f5f5600670f31041
included	subcluster	S06	S13	2	7	7	0.16666666666666666	w_45a112f0ccfe5c13,w_67833e8bc8bb92f5
included	subcluster	S09	S06	2	5	11	0.14285714285714285	w_cb00fb1bab7f3b7f,w_7478c4587d99ea18
included	subcluster	S13	S03	2	11	6	0.13333333333333333	w_0daa43451a63b0d5,w_71088ab66e735f6d
included	subcluster	S06	S15	1	7	3	0.1111111111111111	w_35bf58ca4093d76e
included	subcluster	S09	S03	1	5	6	0.1	w_e219fcd05aa4ac72
included	subcluster	S04	S11	1	6	6	0.09090909090909091	w_01e15d37549ba1fc
included	subcluster	S07	S15	1	9	3	0.09090909090909091	w_8a9381903c1dcd61
included	subcluster	S09	S09	1	5	7	0.09090909090909091	w_c053dda032e0c8cc
included	subcluster	S09	S13	1	5	7	0.09090909090909091	w_a68de8b27948098c
included	subcluster	S06	S14	1	7	6	0.08333333333333333	w_c05624cc0be4c2cb
included	subcluster	S13	S15	1	11	3	0.07692307692307693	w_248da8719a3b92f1
included	subcluster	S03	S10	1	4	11	0.07142857142857142	w_9db7d6568bb89686
included	subcluster	S07	S11	1	9	6	0.07142857142857142	w_584c8d983c92b47f
included	subcluster	S12	S05	1	12	3	0.07142857142857142	w_3144bdd83cd17ac0
included	subcluster	S13	S12	1	11	4	0.07142857142857142	w_a6ec62ef7863cd72
included	subcluster	S05	S10	1	5	11	0.06666666666666667	w_b19041cd869bacfa
included	subcluster	S13	S01	1	11	5	0.06666666666666667	w_5c54f66764cf4f97
included	subcluster	S01	S09	1	10	7	0.0625	w_33b529766cc60dd2
included	subcluster	S13	S11	1	11	6	0.0625	w_92e78fbf258ed40a
included	subcluster	S01	S06	1	10	11	0.05	w_85b812c5c78e647c
audited	macro	M07	M04	6	7	7	0.75	w_8e2c23b49bc4d436,w_69468026d902ba92,w_2715496262944022,w_ae520d3640f2a268,w_0d3dcf550d7f718e,w_491d54e45fee4c6c
