corpus	method	linkage	level	clusters	silhouette	min_cluster_size	max_cluster_size	singleton_clusters
included	tfidf	average	macro	6	0.0354341640006818	1	25	1
included	tfidf	average	subcluster	15	0.0559541519913866	1	14	1
included	tfidf	complete	macro	6	0.021354958024329143	5	43	0
included	tfidf	complete	subcluster	15	0.054864764361850435	3	12	0
included	tfidf	weighted	macro	6	0.041340614570174086	4	26	0
included	tfidf	weighted	subcluster	15	0.06089979119730927	2	14	0
included	tfidf	ward	macro	6	0.043517343724524545	6	23	0
included	tfidf	ward	subcluster	15	0.06025045275299782	2	12	0
included	semantic	average	macro	6	0.11403729335093579	1	32	1
included	semantic	average	subcluster	15	0.12751909399019795	1	18	3
included	semantic	complete	macro	6	0.10642007388206273	3	38	0
included	semantic	complete	subcluster	15	0.10537578428757192	1	12	1
included	semantic	weighted	macro	6	0.10261831068429898	7	23	0
included	semantic	weighted	subcluster	15	0.11504486296121502	1	17	2
included	semantic	ward	macro	6	0.11343421649750775	7	20	0
included	semantic	ward	subcluster	15	0.11524420147269153	2	11	0
audited	tfidf	average	macro	10	0.01182087289258801	2	132	0
audited	tfidf	average	subcluster	25	0.021121927301872186	1	64	1
audited	tfidf	complete	macro	10	-0.005685422231003218	2	229	0
audited	tfidf	complete	subcluster	25	0.006142396666355276	2	88	0
audited	tfidf	weighted	macro	10	0.005908411216715304	2	163	0
audited	tfidf	weighted	subcluster	25	0.019516757141429995	1	64	1
audited	tfidf	ward	macro	10	0.0132389672635089	2	128	0
audited	tfidf	ward	subcluster	25	0.024577388100023283	2	32	0
audited	semantic	average	macro	10	0.09828813390550939	1	323	8
audited	semantic	average	subcluster	25	0.008860741064230238	1	274	11
audited	semantic	complete	macro	10	0.04044314094204585	1	86	1
audited	semantic	complete	subcluster	25	0.053090895944234565	1	44	5
audited	semantic	weighted	macro	10	0.045919018750864085	1	277	5
audited	semantic	weighted	subcluster	25	0.048216680652018284	1	129	10
audited	semantic	ward	macro	10	0.06515385756711067	7	64	0
audited	semantic	ward	subcluster	25	0.06250836301494431	2	28	0
