corpus	method	k	clusters	silhouette	min_cluster_size	max_cluster_size	singleton_clusters
included	tfidf	2	2	0.03001480161778177	41	51	0
included	tfidf	3	3	0.031279788118797384	6	51	0
included	tfidf	4	4	0.03827696571547821	6	35	0
included	tfidf	5	5	0.04036255371374266	6	33	0
included	tfidf	6	6	0.043517343724524545	6	23	0
included	tfidf	7	7	0.04696024769209959	6	23	0
included	tfidf	8	8	0.04893208990319102	6	23	0
included	tfidf	9	9	0.04888056590948893	6	12	0
included	tfidf	10	10	0.051721243915340546	5	12	0
included	tfidf	11	11	0.054071991964378736	5	12	0
included	tfidf	12	12	0.056010798049218644	4	12	0
included	tfidf	13	13	0.05686874887015311	2	12	0
included	tfidf	14	14	0.059563634118226995	2	12	0
included	tfidf	15	15	0.06025045275299782	2	12	0
included	tfidf	16	16	0.06341104143720892	2	12	0
included	tfidf	17	17	0.06565282690989903	2	12	0
included	tfidf	18	18	0.06867663783859417	2	12	0
included	tfidf	19	19	0.06768021681424856	2	9	0
included	tfidf	20	20	0.06805015891843527	2	9	0
included	semantic	2	2	0.09790677981055633	29	63	0
included	semantic	3	3	0.1215222747791442	26	37	0
included	semantic	4	4	0.10331965706118525	11	37	0
included	semantic	5	5	0.10638464048072965	11	26	0
included	semantic	6	6	0.11343421649750775	7	20	0
included	semantic	7	7	0.11697383968628931	7	19	0
included	semantic	8	8	0.11349818701928822	7	18	0
included	semantic	9	9	0.10964728329305683	5	17	0
included	semantic	10	10	0.10513640427412523	5	13	0
included	semantic	11	11	0.11210241272252978	4	13	0
included	semantic	12	12	0.1175892903305752	3	13	0
included	semantic	13	13	0.11409964311956858	3	13	0
included	semantic	14	14	0.11751071568014579	3	11	0
included	semantic	15	15	0.11524420147269153	2	11	0
included	semantic	16	16	0.11918203803593266	2	11	0
included	semantic	17	17	0.12210914683041836	1	11	1
included	semantic	18	18	0.12504528563121992	1	11	1
included	semantic	19	19	0.12978859372681087	1	11	1
included	semantic	20	20	0.1316698009356637	1	8	1
audited	tfidf	2	2	0.009461157220412611	91	242	0
audited	tfidf	3	3	0.013025037457079834	62	180	0
audited	tfidf	4	4	0.010991392381856922	25	155	0
audited	tfidf	5	5	0.008522231858833279	6	155	0
audited	tfidf	6	6	0.00971008645882608	6	148	0
audited	tfidf	7	7	0.01125944658474547	2	146	0
audited	tfidf	8	8	0.011269446358768781	2	146	0
audited	tfidf	9	9	0.011740002961972577	2	128	0
audited	tfidf	10	10	0.0132389672635089	2	128	0
audited	tfidf	11	11	0.015483477364745072	2	128	0
audited	tfidf	12	12	0.015549310429955207	2	110	0
audited	tfidf	13	13	0.01687523264185326	2	88	0
audited	tfidf	14	14	0.0176436670843422	2	88	0
audited	tfidf	15	15	0.01915909505582449	2	61	0
audited	tfidf	16	16	0.019288830301587994	2	61	0
audited	tfidf	17	17	0.019129690018778477	2	61	0
audited	tfidf	18	18	0.01827572787603027	2	61	0
audited	tfidf	19	19	0.018808277636967435	2	61	0
audited	tfidf	20	20	0.021040769446527878	2	61	0
audited	tfidf	21	21	0.021346732767829484	2	61	0
audited	tfidf	22	22	0.02296787163633825	2	61	0
audited	tfidf	23	23	0.023785706912487787	2	61	0
audited	tfidf	24	24	0.02498200958133455	2	32	0
audited	tfidf	25	25	0.024577388100023283	2	32	0
audited	tfidf	26	26	0.025708883099366496	2	32	0
audited	tfidf	27	27	0.02564475077693808	2	32	0
audited	tfidf	28	28	0.02693728802182013	2	32	0
audited	tfidf	29	29	0.027982210188063735	2	32	0
audited	tfidf	30	30	0.028385636189203547	2	32	0
audited	tfidf	31	31	0.029567996394382057	2	32	0
